curly_hair (1f9b1)
white_hair (1f9b3)
bald (1f9b2)
monkey_face (1f435)
monkey (1f412)
gorilla (1f98d)
orangutan (1f9a7)
dog_face (1f436)
dog (1f415)
guide_dog (1f9ae)
service_dog (1f415_200d_1f9ba)
poodle (1f429)
wolf (1f43a)
fox (1f98a)
raccoon (1f99d)
cat_face (1f431)
cat (1f408)
black_cat (1f408_200d_2b1b)////////
lion (1f981)
tiger_face (1f42f)
tiger (1f405)
leopard (1f406)
horse_face (1f434)
horse (1f40e)
unicorn (1f984)
zebra (1f993)
deer (1f98c)
bison (1f9ac)
cow_face (1f42e)
ox (1f402)
water_buffalo (1f403)
cow (1f404)
pig_face (1f437)
pig (1f416)
boar (1f417)
pig_nose (1f43d)
ram (1f40f)
ewe (1f411)
goat (1f410)
camel (1f42a)
twohump_camel (1f42b)
llama (1f999)
giraffe (1f992)
elephant (1f418)
mammoth (1f9a3)
rhinoceros (1f98f)
hippopotamus (1f99b)
mouse_face (1f42d)
mouse (1f401)
rat (1f400)
hamster (1f439)
rabbit_face (1f430)
rabbit (1f407)
chipmunk (1f43f)
beaver (1f9ab)
hedgehog (1f994)
bat (1f987)
bear (1f43b)
polar_bear (1f43b_200d_2744)
koala (1f428)
panda (1f43c)
sloth (1f9a5)
otter (1f9a6)
skunk (1f9a8)
kangaroo (1f998)
badger (1f9a1)
paw_prints (1f43e)
turkey (1f983)
chicken (1f414)
rooster (1f413)
hatching_chick (1f423)
baby_chick (1f424)
frontfacing_baby_chick (1f425)
bird (1f426)
penguin (1f427)
dove (1f54a)
eagle (1f985)
duck (1f986)
swan (1f9a2)
owl (1f989)
dodo (1f9a4)
feather (1fab6)
flamingo (1f9a9)
peacock (1f99a)
parrot (1f99c)
frog (1f438)
crocodile (1f40a)
turtle (1f422)
lizard (1f98e)
snake (1f40d)
dragon_face (1f432)
dragon (1f409)
sauropod (1f995)
trex (1f996)
spouting_whale (1f433)
whale (1f40b)
dolphin (1f42c)
seal (1f9ad)
fish (1f41f)
tropical_fish (1f420)
blowfish (1f421)
shark (1f988)
octopus (1f419)
spiral_shell (1f41a)
snail (1f40c)
butterfly (1f98b)
bug (1f41b)
ant (1f41c)
honeybee (1f41d)
beetle (1fab2)
lady_beetle (1f41e)
cricket (1f997)
cockroach (1fab3)
spider (1f577)
spider_web (1f578)
scorpion (1f982)
mosquito (1f99f)
fly (1fab0)/////////////////////////
worm (1fab1)
microbe (1f9a0)
bouquet (1f490)
cherry_blossom (1f338)
white_flower (1f4ae)
rosette (1f3f5)
rose (1f339)
wilted_flower (1f940)
hibiscus (1f33a)
sunflower (1f33b)
blossom (1f33c)
tulip (1f337)
seedling (1f331)
potted_plant (1fab4)
evergreen_tree (1f332)
deciduous_tree (1f333)
palm_tree (1f334)
cactus (1f335)
sheaf_of_rice (1f33e)
herb (1f33f)
four_leaf_clover (1f340)
maple_leaf (1f341)
fallen_leaf (1f342)
leaf_fluttering_in_wind (1f343)
grapes (1f347)
melon (1f348)
watermelon (1f349)
tangerine (1f34a)
lemon (1f34b)
banana (1f34c)
pineapple (1f34d)
mango (1f96d)
red_apple (1f34e)
green_apple (1f34f)
pear (1f350)
peach (1f351)
cherries (1f352)
strawberry (1f353)
blueberries (1fad0)
kiwi_fruit (1f95d)
tomato (1f345)
olive (1fad2)
coconut (1f965)
avocado (1f951)
eggplant (1f346)
potato (1f954)
carrot (1f955)
ear_of_corn (1f33d)
hot_pepper (1f336)
bell_pepper (1fad1)
cucumber (1f952)
leafy_green (1f96c)
broccoli (1f966)
garlic (1f9c4)
onion (1f9c5)
mushroom (1f344)
peanuts (1f95c)
chestnut (1f330)
bread (1f35e)
croissant (1f950)
baguette_bread (1f956)
flatbread (1fad3)
pretzel (1f968)
bagel (1f96f)
pancakes (1f95e)
waffle (1f9c7)
cheese_wedge (1f9c0)
meat_on_bone (1f356)
poultry_leg (1f357)
cut_of_meat (1f969)
bacon (1f953)
hamburger (1f354)
french_fries (1f35f)
pizza (1f355)
hot_dog (1f32d)
sandwich (1f96a)
taco (1f32e)
burrito (1f32f)
tamale (1fad4)
stuffed_flatbread (1f959)
falafel (1f9c6)
egg (1f95a)
cooking (1f373)
shallow_pan_of_food (1f958)
pot_of_food (1f372)
fondue (1fad5)
bowl_with_spoon (1f963)
green_salad (1f957)
popcorn (1f37f)
butter (1f9c8)
salt (1f9c2)
canned_food (1f96b)
bento_box (1f371)
rice_cracker (1f358)
rice_ball (1f359)
cooked_rice (1f35a)
curry_rice (1f35b)
steaming_bowl (1f35c)
spaghetti (1f35d)
roasted_sweet_potato (1f360)
oden (1f362)
sushi (1f363)
fried_shrimp (1f364)
fish_cake_with_swirl (1f365)////////////////////////////////////
moon_cake (1f96e)
dango (1f361)
dumpling (1f95f)
fortune_cookie (1f960)
takeout_box (1f961)
crab (1f980)
lobster (1f99e)
shrimp (1f990)
squid (1f991)
oyster (1f9aa)
soft_ice_cream (1f366)
shaved_ice (1f367)
ice_cream (1f368)
doughnut (1f369)
cookie (1f36a)
birthday_cake (1f382)
shortcake (1f370)
cupcake (1f9c1)
pie (1f967)
chocolate_bar (1f36b)
candy (1f36c)
lollipop (1f36d)
custard (1f36e)
honey_pot (1f36f)
baby_bottle (1f37c)
glass_of_milk (1f95b)
teapot (1fad6)
teacup_without_handle (1f375)
sake (1f376)
bottle_with_popping_cork (1f37e)
wine_glass (1f377)
cocktail_glass (1f378)
